Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|past'|, |0|, |0|, |1|, |1|, |2|
|fairly|, |2|, |1|, |2|, |1|, |6|
|"Find|, |0|, |0|, |2|, |2|, |4|
|husband?"|, |0|, |0|, |1|, |1|, |2|
|shocked|, |1|, |1|, |1|, |1|, |4|
|name|, |4|, |4|, |3|, |2|, |13|
|Then,|, |0|, |0|, |1|, |4|, |5|
|helas!"|, |0|, |0|, |1|, |0|, |1|
|cried.|, |0|, |0|, |3|, |0|, |3|
|believe|, |4|, |5|, |3|, |4|, |16|
|shed|, |1|, |1|, |1|, |1|, |4|
|America|, |1|, |0|, |1|, |0|, |2|
|critical|, |1|, |0|, |1|, |0|, |2|
|particularly|, |1|, |0|, |1|, |0|, |2|
|insist|, |1|, |0|, |1|, |0|, |2|
|staid|, |1|, |0|, |1|, |0|, |2|
|again|, |15|, |17|, |8|, |3|, |43|
|hadn't|, |0|, |0|, |3|, |0|, |3|
|madam|, |3|, |2|, |0|, |0|, |5|
|Angelo|, |1|, |1|, |0|, |0|, |2|
|ont|, |1|, |0|, |1|, |0|, |2|
|cafe;|, |0|, |0|, |1|, |0|, |1|
|interest;|, |0|, |0|, |0|, |1|, |1|
|Perhaps|, |1|, |2|, |1|, |2|, |6|
|'Madame|, |1|, |0|, |1|, |0|, |2|
|child.|, |0|, |0|, |1|, |1|, |2|
|fellow.|, |0|, |0|, |0|, |1|, |1|
|lean|, |1|, |1|, |0|, |0|, |2|
|portico|, |1|, |1|, |0|, |0|, |2|
|monsieur--!|, |0|, |0|, |1|, |0|, |1|
|watched|, |1|, |0|, |1|, |0|, |2|
|offered|, |1|, |1|, |0|, |0|, |2|
|1885|, |0|, |1|, |0|, |1|, |2|
|lives,|, |0|, |0|, |0|, |1|, |1|
|Marquise,|, |0|, |0|, |1|, |0|, |1|
|"Oh,|, |0|, |0|, |0|, |15|, |15|
|After|, |5|, |2|, |4|, |1|, |12|
|it--with|, |0|, |0|, |1|, |0|, |1|
|odds|, |1|, |1|, |1|, |0|, |3|
|serious,|, |0|, |0|, |1|, |1|, |2|
|fastened|, |1|, |1|, |1|, |1|, |4|
|hat|, |2|, |3|, |2|, |2|, |9|
|book-nourished|, |1|, |1|, |1|, |1|, |4|
|know."|, |0|, |0|, |1|, |1|, |2|
|grammar,|, |0|, |0|, |1|, |1|, |2|
|waiter.|, |0|, |0|, |1|, |1|, |2|
|suspected|, |1|, |1|, |0|, |0|, |2|
|months|, |6|, |5|, |3|, |3|, |17|
|played|, |1|, |0|, |1|, |0|, |2|
|her,|, |0|, |0|, |11|, |6|, |17|
|comedy,|, |0|, |0|, |1|, |0|, |1|
|ignore|, |1|, |0|, |1|, |0|, |2|
|Waited|, |1|, |1|, |0|, |0|, |2|
|sail|, |1|, |1|, |0|, |1|, |3|
|discarded|, |0|, |1|, |0|, |1|, |2|
|present|, |2|, |2|, |2|, |2|, |8|
|voila|, |1|, |0|, |0|, |0|, |1|
|(as|, |0|, |0|, |1|, |1|, |2|
|At|, |9|, |12|, |5|, |7|, |33|
|asking|, |2|, |2|, |2|, |2|, |8|
|impressions.|, |0|, |0|, |1|, |1|, |2|
|immensely|, |1|, |1|, |0|, |0|, |2|
|voyage|, |1|, |1|, |0|, |0|, |2|
|round!"|, |0|, |0|, |1|, |0|, |1|
|SOME|, |2|, |0|, |2|, |0|, |4|
|surprise|, |2|, |2|, |2|, |1|, |7|
|gray|, |0|, |2|, |0|, |1|, |3|
|surprise,|, |0|, |0|, |0|, |1|, |1|
|extraordinary|, |2|, |0|, |2|, |0|, |4|
|array,|, |0|, |0|, |1|, |0|, |1|
|needn't|, |0|, |0|, |1|, |0|, |1|
|year,"|, |0|, |0|, |0|, |1|, |1|
|shaven|, |1|, |1|, |1|, |1|, |4|
|landscapes|, |1|, |1|, |0|, |0|, |2|
|funds|, |2|, |2|, |1|, |1|, |6|
|weeks|, |1|, |1|, |1|, |1|, |4|
|sorry?|, |0|, |0|, |0|, |1|, |1|
|Why|, |2|, |1|, |0|, |0|, |3|
|instantly|, |0|, |2|, |0|, |2|, |4|
|"Make|, |0|, |0|, |0|, |1|, |1|
|suppose|, |4|, |4|, |3|, |2|, |13|
|harbour--that|, |0|, |0|, |1|, |0|, |1|
|assured|, |2|, |0|, |2|, |0|, |4|
|sense|, |4|, |3|, |4|, |3|, |14|
|hoard|, |1|, |0|, |1|, |0|, |2|
|exact|, |1|, |0|, |0|, |0|, |1|
|half-amused|, |1|, |0|, |0|, |0|, |1|
|dishonest|, |2|, |2|, |1|, |0|, |5|
|we've|, |0|, |0|, |2|, |0|, |2|
|resented|, |1|, |1|, |1|, |1|, |4|
|see?"--Caroline's|, |0|, |0|, |1|, |0|, |1|
|Before|, |1|, |0|, |0|, |0|, |1|
|sorry|, |2|, |4|, |2|, |3|, |11|
|yes,"|, |0|, |0|, |1|, |1|, |2|
|weren't|, |0|, |0|, |3|, |0|, |3|
|"European"|, |0|, |0|, |1|, |0|, |1|
|stick,|, |0|, |0|, |1|, |1|, |2|
|happily,|, |0|, |0|, |0|, |1|, |1|
|impure|, |1|, |1|, |1|, |1|, |4|
|274|, |1|, |0|, |0|, |0|, |1|
|voice|, |4|, |5|, |3|, |0|, |12|
|chimney-stack|, |1|, |1|, |1|, |1|, |4|
|cousin.|, |0|, |0|, |2|, |1|, |3|
|saying,--|, |0|, |0|, |0|, |1|, |1|
|charged|, |2|, |1|, |1|, |1|, |5|
|manipulated|, |1|, |0|, |1|, |0|, |2|
|informant|, |1|, |0|, |1|, |0|, |2|
|going|, |14|, |13|, |13|, |12|, |52|
|persuaded|, |0|, |1|, |0|, |1|, |2|
|perverted|, |0|, |1|, |0|, |1|, |2|
|recovered|, |1|, |0|, |1|, |0|, |2|
|strange--so|, |0|, |0|, |1|, |0|, |1|
|"Happy|, |0|, |0|, |0|, |1|, |1|
|go?|, |0|, |0|, |1|, |1|, |2|
|slow|, |3|, |0|, |3|, |0|, |6|
|ceased.|, |0|, |0|, |1|, |1|, |2|
|court,"|, |0|, |0|, |0|, |1|, |1|
|_parages_|, |1|, |0|, |0|, |0|, |1|
|correctly|, |1|, |1|, |0|, |0|, |2|
|dignity|, |1|, |0|, |0|, |0|, |1|
|wearily|, |1|, |1|, |1|, |0|, |3|
|"Here,"|, |0|, |0|, |1|, |1|, |2|
|hasn't|, |0|, |0|, |1|, |0|, |1|
|extreme.|, |0|, |0|, |1|, |1|, |2|
|of,|, |0|, |0|, |0|, |1|, |1|
|coral,|, |0|, |0|, |1|, |1|, |2|
|lean;|, |0|, |0|, |0|, |1|, |1|
|gratefully,|, |0|, |0|, |0|, |1|, |1|
|responding|, |1|, |1|, |1|, |1|, |4|
|patience|, |1|, |1|, |1|, |1|, |4|
|perched|, |1|, |1|, |1|, |1|, |4|
|mine,|, |0|, |0|, |1|, |0|, |1|
|out."|, |0|, |0|, |1|, |0|, |1|
|utter|, |1|, |0|, |0|, |0|, |1|
|"Look|, |0|, |0|, |1|, |0|, |1|
|slight|, |1|, |0|, |1|, |0|, |2|
|shan't|, |0|, |0|, |2|, |0|, |2|
|banter|, |1|, |0|, |0|, |0|, |1|
|confidence|, |5|, |1|, |3|, |1|, |10|
|breakfast|, |3|, |3|, |2|, |2|, |10|
|birth,|, |0|, |0|, |1|, |0|, |1|
|stick;|, |0|, |0|, |1|, |1|, |2|
|honourably|, |1|, |0|, |0|, |0|, |1|
|conscience|, |1|, |1|, |1|, |1|, |4|
|hovered--"as|, |0|, |0|, |1|, |0|, |1|
|person--a|, |0|, |0|, |1|, |0|, |1|
|bowed|, |1|, |1|, |1|, |1|, |4|
|provocation|, |0|, |1|, |0|, |0|, |1|
|Her|, |7|, |3|, |7|, |2|, |19|
|confined|, |2|, |1|, |1|, |0|, |4|
|272|, |1|, |0|, |0|, |0|, |1|
|eloquence|, |0|, |1|, |0|, |0|, |1|
|said--"of|, |0|, |0|, |1|, |0|, |1|
|"Really,"|, |0|, |0|, |1|, |1|, |2|
|is!|, |0|, |0|, |1|, |1|, |2|
|arranging|, |1|, |1|, |1|, |1|, |4|
|one,"|, |0|, |0|, |1|, |0|, |1|
|lodged|, |1|, |1|, |0|, |0|, |2|
|image|, |1|, |0|, |1|, |0|, |2|
|Raphaelesque|, |1|, |1|, |1|, |1|, |4|
|more|, |22|, |18|, |19|, |13|, |72|
|teeth|, |4|, |4|, |2|, |3|, |13|
|distinctness:|, |0|, |0|, |0|, |1|, |1|
|sais|, |1|, |0|, |1|, |0|, |2|
|guest|, |1|, |0|, |1|, |0|, |2|
|measured|, |1|, |1|, |1|, |1|, |4|
|old|, |24|, |17|, |23|, |17|, |81|
|her,--at|, |0|, |0|, |0|, |1|, |1|
|apprehension|, |1|, |1|, |0|, |1|, |3|
|"I|, |0|, |0|, |42|, |71|, |113|
|now|, |21|, |10|, |15|, |6|, |52|
|_parages_?"|, |0|, |0|, |1|, |0|, |1|
|distinctness|, |0|, |1|, |0|, |0|, |1|
|unscrupulous|, |1|, |0|, |1|, |0|, |2|
|recall|, |2|, |0|, |2|, |0|, |4|
|horses|, |1|, |1|, |0|, |0|, |2|
|finger.|, |0|, |0|, |1|, |0|, |1|
|'|, |12|, |3|, |0|, |0|, |15|
|glance|, |1|, |4|, |1|, |2|, |8|
|"Some|, |0|, |0|, |1|, |1|, |2|
|_Quelle|, |1|, |1|, |1|, |1|, |4|
|Normande"|, |0|, |0|, |0|, |1|, |1|
|high-born,|, |0|, |0|, |1|, |0|, |1|
|pause,|, |0|, |0|, |0|, |1|, |1|
|banker's,|, |0|, |0|, |1|, |1|, |2|
|"What|, |0|, |0|, |1|, |1|, |2|
|vision|, |2|, |1|, |1|, |0|, |4|
|door,|, |0|, |0|, |1|, |3|, |4|
|inmate|, |1|, |0|, |0|, |0|, |1|
|house|, |8|, |9|, |3|, |3|, |23|
|come"--and|, |0|, |0|, |1|, |0|, |1|
|tie|, |1|, |0|, |1|, |0|, |2|
|held|, |3|, |1|, |3|, |1|, |8|
|Nature|, |1|, |1|, |1|, |1|, |4|
|chattering|, |1|, |1|, |1|, |1|, |4|
|apricot|, |2|, |2|, |2|, |2|, |8|
|them,|, |0|, |0|, |2|, |1|, |3|
|all,|, |0|, |0|, |1|, |1|, |2|
|married|, |1|, |1|, |1|, |1|, |4|
|modest|, |0|, |1|, |0|, |1|, |2|
|268|, |1|, |0|, |0|, |0|, |1|
|anything|, |2|, |1|, |2|, |1|, |6|
|remember|, |4|, |5|, |3|, |5|, |17|
|VERY|, |3|, |0|, |3|, |0|, |6|
|advance.|, |0|, |0|, |1|, |0|, |1|
|_quatrieme_--to|, |0|, |0|, |1|, |0|, |1|
|successfully|, |1|, |1|, |1|, |1|, |4|
|fanned|, |1|, |1|, |1|, |1|, |4|
|protector|, |2|, |0|, |1|, |0|, |3|
|timidly,|, |0|, |0|, |2|, |2|, |4|
|Genoa,|, |0|, |0|, |1|, |1|, |2|
|charms."|, |0|, |0|, |1|, |1|, |2|
|travelling!"|, |0|, |0|, |0|, |1|, |1|
|flower|, |3|, |1|, |3|, |1|, |8|
|any.|, |0|, |0|, |1|, |0|, |1|
|wall|, |1|, |1|, |0|, |0|, |2|
|occur|, |1|, |0|, |0|, |0|, |1|
|dead|, |2|, |1|, |1|, |0|, |4|
|intonation.|, |0|, |0|, |0|, |1|, |1|
|past,|, |0|, |0|, |1|, |0|, |1|
|worse|, |2|, |0|, |1|, |0|, |3|
|depths|, |2|, |1|, |2|, |1|, |6|
|copper|, |1|, |1|, |1|, |1|, |4|
|pastry-cook,|, |0|, |0|, |1|, |0|, |1|
|intensely,|, |0|, |0|, |1|, |0|, |1|
|banter.|, |0|, |0|, |1|, |0|, |1|
|Princes?"|, |0|, |0|, |1|, |1|, |2|
|son|, |1|, |1|, |0|, |0|, |2|
|all--the|, |0|, |0|, |1|, |0|, |1|
|Yankee|, |1|, |1|, |1|, |1|, |4|
|dame_|, |1|, |0|, |1|, |0|, |2|
|This,|, |0|, |0|, |1|, |0|, |1|
|recovery|, |1|, |0|, |1|, |0|, |2|
|fortress|, |2|, |2|, |1|, |1|, |6|
|lamb|, |1|, |0|, |1|, |0|, |2|
|wished.|, |0|, |0|, |1|, |1|, |2|
|toss|, |1|, |1|, |1|, |1|, |4|
|revealed|, |1|, |1|, |0|, |1|, |3|
|laced|, |2|, |2|, |1|, |1|, |6|
|usurped|, |1|, |0|, |1|, |0|, |2|
|inquired,|, |0|, |0|, |0|, |2|, |2|
|seven|, |1|, |1|, |0|, |0|, |2|
|door-step,|, |0|, |0|, |2|, |0|, |2|
|expressively.|, |0|, |0|, |0|, |1|, |1|
|mellow|, |1|, |1|, |1|, |1|, |4|
|themselves|, |2|, |1|, |2|, |1|, |6|
|decidedly|, |1|, |0|, |1|, |0|, |2|
|divinely|, |1|, |0|, |0|, |0|, |1|
|ways.|, |0|, |0|, |1|, |0|, |1|
|Ugly,|, |0|, |0|, |0|, |1|, |1|
|thirty|, |2|, |2|, |1|, |1|, |6|
|since?"|, |0|, |0|, |3|, |3|, |6|
|it."|, |0|, |0|, |3|, |4|, |7|
|age|, |1|, |1|, |0|, |0|, |2|
|ecstasy.|, |0|, |0|, |1|, |1|, |2|
|velvet|, |3|, |3|, |3|, |3|, |12|
|mild|, |2|, |2|, |2|, |2|, |8|
|stroll|, |1|, |1|, |1|, |1|, |4|
|aware;|, |0|, |0|, |1|, |0|, |1|
|serenity.|, |0|, |0|, |0|, |1|, |1|
|imagined|, |1|, |1|, |1|, |1|, |4|
|statuesque|, |1|, |1|, |0|, |0|, |2|
|decide|, |1|, |1|, |1|, |1|, |4|
|fall|, |1|, |1|, |1|, |0|, |3|
|Instead|, |1|, |1|, |1|, |1|, |4|
|considering|, |1|, |0|, |1|, |0|, |2|
|carryall|, |0|, |2|, |0|, |1|, |3|
|already,|, |0|, |0|, |1|, |0|, |1|
|world."|, |0|, |0|, |1|, |1|, |2|
|amount."|, |0|, |0|, |1|, |2|, |3|
|conversation.|, |0|, |0|, |1|, |1|, |2|
|"He|, |0|, |0|, |7|, |12|, |19|
|terrible|, |2|, |2|, |2|, |2|, |8|
|'_fine_'!"|, |0|, |0|, |1|, |0|, |1|
|my|, |97|, |58|, |97|, |58|, |310|
|buildings|, |1|, |1|, |0|, |0|, |2|
|ill-adjusted|, |1|, |1|, |1|, |1|, |4|
|eye,|, |0|, |0|, |0|, |2|, |2|
|ciel_|, |1|, |0|, |0|, |0|, |1|
|startled.|, |0|, |0|, |0|, |1|, |1|
|idiot;|, |0|, |0|, |0|, |1|, |1|
|in?"|, |0|, |0|, |1|, |1|, |2|
|thence|, |1|, |1|, |1|, |1|, |4|
|strange,|, |0|, |0|, |1|, |1|, |2|
|Italy,|, |0|, |0|, |0|, |1|, |1|
|residence|, |1|, |1|, |1|, |1|, |4|
|donnees,|, |0|, |0|, |1|, |0|, |1|
|ineffably|, |1|, |0|, |1|, |0|, |2|
|beautifully|, |1|, |1|, |1|, |1|, |4|
|And|, |31|, |28|, |12|, |14|, |85|
|without|, |9|, |6|, |9|, |6|, |30|
|title|, |1|, |0|, |0|, |0|, |1|
|here,"|, |0|, |0|, |0|, |1|, |1|
|tone,--"She|, |0|, |0|, |0|, |1|, |1|
|friendly|, |1|, |1|, |1|, |1|, |4|
|varnished|, |1|, |1|, |1|, |1|, |4|
|305|, |1|, |0|, |0|, |0|, |1|
|idea.|, |0|, |0|, |1|, |0|, |1|
|Which|, |0|, |1|, |0|, |0|, |1|
|consequence|, |2|, |1|, |2|, |1|, |6|
|poodles.|, |0|, |0|, |1|, |1|, |2|
|interesting,|, |0|, |0|, |1|, |0|, |1|
|event.|, |0|, |0|, |1|, |1|, |2|
|alarmed,|, |0|, |0|, |0|, |1|, |1|
|things.|, |0|, |0|, |2|, |1|, |3|
|simply|, |5|, |1|, |5|, |1|, |12|
|her?"|, |0|, |0|, |1|, |1|, |2|
|bawls|, |1|, |1|, |1|, |1|, |4|
|tired,"|, |0|, |0|, |0|, |1|, |1|
|flannels;|, |0|, |0|, |1|, |0|, |1|
|situation,|, |0|, |0|, |2|, |0|, |2|
|Nice|, |4|, |4|, |2|, |1|, |11|
|delicate|, |0|, |2|, |0|, |2|, |4|
|agitated|, |1|, |3|, |0|, |0|, |4|
|evening.|, |0|, |0|, |1|, |1|, |2|
|dear."|, |0|, |0|, |1|, |1|, |2|
|enough.|, |0|, |0|, |1|, |1|, |2|
|uncomfortable|, |0|, |2|, |0|, |1|, |3|
|innocent|, |1|, |0|, |1|, |0|, |2|
|yet,|, |0|, |0|, |2|, |2|, |4|
|water.|, |0|, |0|, |1|, |1|, |2|
|hospitality;|, |0|, |0|, |0|, |1|, |1|
|famous|, |2|, |1|, |2|, |1|, |6|
|France,|, |0|, |0|, |0|, |1|, |1|
|wanton|, |1|, |0|, |0|, |0|, |1|
|flirting,|, |0|, |0|, |0|, |1|, |1|
|occasion|, |2|, |1|, |2|, |1|, |6|
|Levant|, |1|, |1|, |0|, |0|, |2|
|bust.|, |0|, |0|, |1|, |1|, |2|
|obstinately|, |1|, |0|, |1|, |0|, |2|
|instant.|, |0|, |0|, |0|, |1|, |1|
|hint|, |1|, |1|, |1|, |1|, |4|
|you;|, |0|, |0|, |0|, |1|, |1|
|'Everything|, |1|, |0|, |0|, |0|, |1|
|faces!"|, |0|, |0|, |1|, |1|, |2|
|came|, |15|, |16|, |14|, |15|, |60|
|getting,|, |0|, |0|, |0|, |1|, |1|
|everything.|, |0|, |0|, |2|, |4|, |6|
|castle|, |1|, |2|, |1|, |2|, |6|
|inmate.|, |0|, |0|, |1|, |0|, |1|
|nearly|, |1|, |2|, |1|, |2|, |6|
|charged.|, |0|, |0|, |1|, |0|, |1|
|"And,|, |0|, |0|, |0|, |1|, |1|
|"ruche,"|, |0|, |0|, |0|, |1|, |1|
|train;|, |0|, |0|, |1|, |1|, |2|
|objects;|, |0|, |0|, |1|, |0|, |1|
|doubted|, |1|, |1|, |1|, |1|, |4|
|o'clock,|, |0|, |0|, |1|, |0|, |1|
|he'd|, |0|, |0|, |3|, |0|, |3|
|pictures,|, |0|, |0|, |1|, |2|, |3|
|signified;|, |0|, |0|, |0|, |1|, |1|
|304|, |1|, |0|, |0|, |0|, |1|
|taken|, |1|, |2|, |1|, |2|, |6|
|sofa,|, |0|, |0|, |1|, |1|, |2|
|embroideries|, |1|, |1|, |0|, |0|, |2|
|wife's,"|, |0|, |0|, |1|, |0|, |1|
|why--it|, |0|, |0|, |1|, |1|, |2|
|labour|, |1|, |0|, |0|, |0|, |1|
|meanwhile,|, |0|, |0|, |0|, |1|, |1|
|_monsieur_.|, |0|, |0|, |0|, |1|, |1|
|odd|, |2|, |1|, |2|, |1|, |6|
|currant-bushes|, |1|, |1|, |0|, |0|, |2|
|romantic.|, |0|, |0|, |1|, |1|, |2|
|coffee|, |13|, |11|, |5|, |3|, |32|
|affirmed|, |0|, |1|, |0|, |0|, |1|
|Baptist|, |4|, |4|, |4|, |3|, |15|
|hospitality|, |1|, |2|, |1|, |1|, |5|
|sailor|, |0|, |1|, |0|, |0|, |1|
|deeply|, |1|, |4|, |1|, |3|, |9|
|it?"|, |0|, |0|, |3|, |4|, |7|
|too|, |23|, |14|, |19|, |10|, |66|
|talked|, |6|, |6|, |6|, |6|, |24|
|family|, |3|, |2|, |1|, |2|, |8|
|disconcerted.|, |0|, |0|, |1|, |0|, |1|
|seemed|, |6|, |10|, |6|, |10|, |32|
|Going|, |1|, |1|, |0|, |0|, |2|
|flinched|, |1|, |1|, |0|, |0|, |2|
|day;|, |0|, |0|, |1|, |1|, |2|
|outer|, |1|, |1|, |1|, |1|, |4|
|pleaded;|, |0|, |0|, |1|, |0|, |1|
|singing|, |1|, |1|, |1|, |1|, |4|
|field.|, |0|, |0|, |1|, |0|, |1|
|said,|, |0|, |0|, |4|, |22|, |26|
|be?"|, |0|, |0|, |1|, |1|, |2|
|charms|, |1|, |1|, |0|, |0|, |2|
|save|, |2|, |0|, |2|, |0|, |4|
|Mademoiselle's.|, |0|, |0|, |1|, |0|, |1|
|friend|, |19|, |8|, |8|, |4|, |39|
|capacity|, |1|, |1|, |0|, |0|, |2|
|happy!"|, |0|, |0|, |1|, |1|, |2|
|ribbons|, |2|, |2|, |2|, |2|, |8|
|creature,|, |0|, |0|, |0|, |1|, |1|
|waiting|, |2|, |2|, |2|, |2|, |8|
|Marseilles|, |1|, |1|, |1|, |1|, |4|
|fascinated."|, |0|, |0|, |1|, |0|, |1|
|Verona|, |7|, |0|, |2|, |0|, |9|
|Paris--I've|, |0|, |0|, |1|, |0|, |1|
|corner|, |1|, |1|, |1|, |1|, |4|
|courtesy|, |1|, |0|, |0|, |0|, |1|
|"But|, |0|, |0|, |4|, |6|, |10|
|Presently|, |0|, |1|, |0|, |0|, |1|
|bewilderment.|, |0|, |0|, |1|, |0|, |1|
|abode|, |1|, |1|, |1|, |1|, |4|
|sufficiently|, |1|, |2|, |1|, |2|, |6|
|shabby|, |1|, |2|, |1|, |1|, |5|
|Grimwinter?"|, |0|, |0|, |0|, |1|, |1|
|remain|, |1|, |2|, |1|, |2|, |6|
|green|, |4|, |3|, |4|, |3|, |14|
|couple|, |4|, |3|, |4|, |3|, |14|
|Miss|, |24|, |38|, |22|, |37|, |121|
|speak--I|, |0|, |0|, |1|, |0|, |1|
|whisper.|, |0|, |0|, |0|, |2|, |2|
|nicely|, |1|, |0|, |0|, |0|, |1|
|halfway|, |1|, |1|, |1|, |1|, |4|
|quavered,|, |0|, |0|, |2|, |0|, |2|
|ago--left|, |0|, |0|, |1|, |0|, |1|
|news.|, |0|, |0|, |1|, |0|, |1|
|"Belle|, |0|, |0|, |0|, |1|, |1|
|lackadaisical|, |1|, |1|, |1|, |1|, |4|
|year."|, |0|, |0|, |1|, |0|, |1|
|oddly|, |1|, |0|, |0|, |0|, |1|
|herself.|, |0|, |0|, |1|, |1|, |2|
|perplexed.|, |0|, |0|, |0|, |1|, |1|
|treacherous|, |0|, |1|, |0|, |0|, |1|
|help|, |2|, |0|, |1|, |0|, |3|
|American|, |5|, |4|, |5|, |4|, |18|
|hostess|, |4|, |1|, |4|, |0|, |9|
|Boulevard."|, |0|, |0|, |1|, |0|, |1|
|bore|, |1|, |1|, |1|, |1|, |4|
|tables|, |3|, |3|, |2|, |2|, |10|
|curtsey|, |2|, |2|, |0|, |0|, |4|
|respectable|, |1|, |0|, |1|, |0|, |2|
|flat|, |1|, |1|, |1|, |0|, |3|
|sunny|, |2|, |2|, |2|, |1|, |7|
|passage|, |2|, |1|, |2|, |0|, |5|
|dining|, |1|, |1|, |1|, |1|, |4|
|tremendously|, |1|, |0|, |1|, |0|, |2|
|(to|, |0|, |0|, |1|, |0|, |1|
|however,|, |0|, |0|, |1|, |1|, |2|
|delicious|, |1|, |2|, |1|, |1|, |5|
|clearly,|, |0|, |0|, |1|, |0|, |1|
|admiration|, |1|, |2|, |1|, |2|, |6|
|Accordingly,|, |0|, |0|, |0|, |1|, |1|
|observing|, |2|, |3|, |2|, |3|, |10|
|eh|, |1|, |3|, |0|, |0|, |4|
|Is|, |4|, |4|, |0|, |1|, |9|
|Europe?"|, |0|, |0|, |1|, |1|, |2|
|caliph.|, |0|, |0|, |0|, |1|, |1|
|distressed."|, |0|, |0|, |0|, |1|, |1|
|"Gracious|, |0|, |0|, |1|, |0|, |1|
|gaily,|, |0|, |0|, |1|, |0|, |1|
|Avignon,|, |0|, |0|, |1|, |1|, |2|
|you,|, |0|, |0|, |1|, |3|, |4|
|consideration|, |2|, |1|, |2|, |1|, |6|
|peculiarly|, |2|, |2|, |2|, |2|, |8|
|tray.|, |0|, |0|, |1|, |1|, |2|
|underlip.|, |0|, |0|, |0|, |1|, |1|
|pocket.|, |0|, |0|, |1|, |0|, |1|
|enchanting|, |1|, |1|, |0|, |0|, |2|
|Accordingly|, |1|, |1|, |1|, |0|, |3|
|brown|, |1|, |0|, |1|, |0|, |2|
|hung|, |2|, |1|, |2|, |1|, |6|
|distress|, |2|, |3|, |0|, |0|, |5|
|insists|, |1|, |1|, |0|, |1|, |3|
|perfection|, |1|, |0|, |1|, |0|, |2|
|taste|, |1|, |1|, |1|, |1|, |4|
|delight|, |1|, |0|, |0|, |0|, |1|
|inward|, |1|, |0|, |1|, |0|, |2|
|gathering|, |0|, |1|, |0|, |1|, |2|
|Provençale|, |0|, |2|, |0|, |1|, |3|
|call,|, |0|, |0|, |1|, |1|, |2|
|well.|, |0|, |0|, |1|, |0|, |1|
|giving|, |3|, |4|, |3|, |4|, |14|
|"It's|, |0|, |0|, |4|, |0|, |4|
|upon|, |6|, |25|, |5|, |25|, |61|
|pulling|, |1|, |0|, |1|, |0|, |2|
|worries.|, |0|, |0|, |1|, |0|, |1|
|purpose,|, |0|, |0|, |1|, |1|, |2|
|appreciation.|, |0|, |0|, |1|, |0|, |1|
|challenge.|, |0|, |0|, |1|, |0|, |1|
|We'll|, |0|, |0|, |1|, |0|, |1|
|;|, |79|, |126|, |0|, |0|, |205|
|St.|, |0|, |1|, |0|, |1|, |2|
|cafes-concerts|, |1|, |0|, |0|, |0|, |1|
|says,|, |0|, |0|, |1|, |0|, |1|
|notes?"|, |0|, |0|, |1|, |1|, |2|
|spend|, |2|, |2|, |2|, |2|, |8|
|pleading.|, |0|, |0|, |1|, |1|, |2|
|(282)|, |0|, |0|, |1|, |0|, |1|
|wrapper.|, |0|, |0|, |1|, |0|, |1|
|reason|, |0|, |1|, |0|, |1|, |2|
|tubs|, |1|, |1|, |1|, |1|, |4|
|Henry|, |0|, |1|, |0|, |1|, |2|
|purse|, |1|, |1|, |0|, |0|, |2|
|countries?|, |0|, |0|, |1|, |1|, |2|
|hypocritically--for|, |0|, |0|, |1|, |0|, |1|
|miserable.|, |0|, |0|, |1|, |1|, |2|
|vanter_,|, |0|, |0|, |1|, |0|, |1|
|tour|, |4|, |2|, |1|, |1|, |8|
|flushing|, |1|, |0|, |0|, |0|, |1|
|and,|, |0|, |0|, |7|, |7|, |14|
|who's|, |0|, |0|, |2|, |0|, |2|
|desired|, |2|, |1|, |2|, |1|, |6|
|catch|, |1|, |0|, |1|, |0|, |2|
|vessel|, |2|, |2|, |2|, |1|, |7|
|280|, |1|, |0|, |0|, |0|, |1|
|crooked|, |3|, |3|, |3|, |3|, |12|
|set|, |3|, |1|, |3|, |1|, |8|
|threw|, |2|, |1|, |2|, |1|, |6|
|proper|, |1|, |1|, |0|, |0|, |2|
|'quarter|, |1|, |1|, |1|, |1|, |4|
|framed|, |1|, |1|, |1|, |1|, |4|
|effort.|, |0|, |0|, |1|, |1|, |2|
|"We|, |0|, |0|, |3|, |3|, |6|
|irritated.|, |0|, |0|, |1|, |1|, |2|
|visitor"--Mrs.|, |0|, |0|, |1|, |0|, |1|
|entertainer|, |1|, |0|, |0|, |0|, |1|
|ill.|, |0|, |0|, |0|, |1|, |1|
|nevertheless,|, |0|, |0|, |0|, |1|, |1|
|desist|, |1|, |1|, |0|, |0|, |2|
|ARE."|, |0|, |0|, |1|, |0|, |1|
|staircase."|, |0|, |0|, |0|, |1|, |1|
|receiving|, |1|, |0|, |1|, |0|, |2|
|natural|, |1|, |1|, |1|, |1|, |4|
|fixedness|, |1|, |1|, |0|, |0|, |2|
|women's|, |0|, |0|, |1|, |1|, |2|
|holds|, |1|, |1|, |1|, |1|, |4|
|hardly|, |4|, |4|, |4|, |4|, |16|
|wouldn't.|, |0|, |0|, |1|, |0|, |1|
|demolished|, |1|, |1|, |0|, |0|, |2|
|affirmed.|, |0|, |0|, |0|, |1|, |1|
|trying|, |1|, |0|, |1|, |0|, |2|
|eyebrows|, |1|, |0|, |1|, |0|, |2|
|Round|, |0|, |1|, |0|, |1|, |2|
|houses.|, |0|, |0|, |1|, |1|, |2|
